name,birthDate,comparison,currentPositions,wikidataPositions,rawWikidataPositions,wikidataQid,playerId
Assane Diao,2005-09-07,DISJOINT,MID,ATT,forward,Q120509822,600ae8d8-b40f-4283-83a3-85c0373dbcfa
Ávaro Leiva,2004-12-28,DISJOINT,ATT,MID,midfielder,Q116949405,1de7068d-3841-4a56-8d1b-2e7dbe0d6d5e
Azor Matusiwa,1998-04-28,DISJOINT,DEF,MID,midfielder,Q27908084,4e3c65da-c39f-447b-8d46-3cb454827149
Bazoumana Touré,2006-03-02,DISJOINT,ATT,MID,midfielder,Q125805788,1885f0d5-269a-465f-9ddf-b810c05267e6
Benjamin Lhassine Kone,2000-03-14,DISJOINT,MID,ATT,forward,Q59914746,4fe45a10-973d-4eef-85ea-96358adccd27
Benjamin Michel Édouard André,1990-08-03,DISJOINT,MID,DEF,defender,Q2475780,68dc9b6a-c826-413b-a8aa-00b7247e94fa
Benjamin Paa Kwesi Henrichs,1997-02-23,DISJOINT,DEF,MID,midfielder,Q20992981,a0291a24-9920-40ea-a187-c32bcbfebc96
Benjamin Sorba William Thomas,1999-01-25,DISJOINT,MID,ATT,forward,Q105482087,8fbcfecf-2379-413a-8833-bbcf3eab0177
Boubacar Bernard Kamara,1999-11-23,DISJOINT,MID,DEF,defender,Q29962926,9f95a5fd-b19d-44ad-baf8-a383a82f7fef
Bradley Barcola,2002-09-02,DISJOINT,MID,ATT,forward,Q99670930,0e218b48-774a-4013-8d50-b4d0922533dd
Cedric Jan Itten,1996-12-27,DISJOINT,ATT,MID,midfielder,Q22965497,916a692f-b7e4-41dc-8e88-c566f40eb8dc
Christian Mate Pulišić,1998-09-18,DISJOINT,ATT,MID,midfielder,Q22279773,95bc2d2a-0e31-42dc-8c0c-e8186182a146
Christos Tzolis,2002-01-30,DISJOINT,MID,ATT,forward,Q96182871,06bba75c-b0f5-48d9-a097-e55e1b2b19f8
Clinton Mata,1992-11-07,DISJOINT,DEF,MID,midfielder,Q18637707,ed3488cf-4b57-4fb6-a28e-5b711ba4a0b7
Daniel Maldini,2001-10-11,DISJOINT,ATT,MID,playmaker,Q84247209,04336413-2cc5-412a-92f0-6ec23acb28d8
Daniel Svensson,2002-02-12,DISJOINT,MID,DEF,defender,Q106967174,060da930-683c-47da-bb04-e84b8e12ab9a
David Møller Wolfe,2002-04-23,DISJOINT,MID,DEF,full-back,Q101095985,f2f024ab-7d02-4012-a674-6e9c8c031f41
David Raum,1998-04-22,DISJOINT,DEF,MID,midfielder,Q28540571,5f905727-d108-4f1b-908d-5ab167c0765c
Deniz Undav,1996-07-19,DISJOINT,MID,ATT,forward,Q55955918,49ab37c3-d728-42ef-be18-25825eff03e6
Derek Austin Cornelius,1997-11-25,DISJOINT,DEF,ATT,forward,Q29901014,b2591392-f3c2-4081-8a6c-71d44b9a7914
Diego López,2002-05-13,DISJOINT,MID,ATT,forward,Q113648535,89b29f79-90ac-4361-a5e7-f5fef80d4db5
Eli Junior Kroupi,2006-06-23,DISJOINT,MID,ATT,forward,Q117774884,9a6bba41-ba24-4e8e-a690-34b7fc91b5f5
Elias Jelert Kristensen,2003-06-12,DISJOINT,MID,DEF,defender,Q109742684,65a65680-63bd-450b-a942-10ed12f547cd
Emanuele Valeri,1998-12-07,DISJOINT,MID,DEF,defender,Q102156391,ac3fdfe7-af5e-4dd1-a816-b88076c71cd4
Evanilson,1999-10-06,DISJOINT,ATT,MID,midfielder,Q69975567,de8a8c68-a3f6-4b2e-9099-e35bc0fdfb6d
Fabiano Parisi,2000-11-09,DISJOINT,ATT,DEF,defender,Q83643499,ad020d1e-ed6f-4bf4-ae2f-bb466c29f9cf
Federico Dimarco,1997-11-10,DISJOINT,MID,DEF,defender,Q20204829,e00c94c9-4f35-44de-93fd-9acfada1f029
Federico Redondo Solari,2003-01-18,DISJOINT,DEF,MID,midfielder,Q113027711,e12252c1-8144-40da-99b7-8f817cf7afbb
Felix Bacher,2000-10-25,DISJOINT,DEF,MID,midfielder,Q55846973,94421990-b5bd-4b8f-a73f-0f39fb8bb79e
Félix Correia,2001-01-22,DISJOINT,MID,ATT,forward,Q66058411,2cbe3c1c-24cc-43bd-8c9e-ad2b040abacb
Ferdi Erenay Kadıoğlu,1999-10-07,DISJOINT,DEF,MID,midfielder,Q26719541,4bd07811-5b23-47ec-ae87-d66cf36d79d4
Filippo Terracciano,2003-02-08,DISJOINT,DEF,MID,midfielder,Q110137666,7561a1ec-fc98-44b9-9a13-d3437a59a4e2
Finn-Dominik Porath,1997-02-23,DISJOINT,ATT,MID,midfielder,Q26212027,2758a780-353f-4cae-9419-0a851bb4d5a0
Florian Tristán Mariano Thauvin,1993-01-26,DISJOINT,ATT,MID,midfielder,Q27476,5bc43346-802c-448a-a6a9-2bee1de51eaf
Gabriel Vidović,2003-12-01,DISJOINT,MID,ATT,forward,Q110611871,5cf296f6-6a45-4c66-a5ba-1538e1f76883
Gaëtan Perrin,1996-06-07,DISJOINT,ATT,MID,midfielder,Q23762797,b4cb3a79-6dd2-4f5d-836e-1ff3b1611ee2
George Hemmings,2007-03-04,DISJOINT,ATT,MID,midfielder,Q137570377,89cb1eac-60bb-423b-b11e-7d30301959dc
Giorgi Tsitaishvili,2000-11-18,DISJOINT,ATT,MID,midfielder,Q55108591,2fe393f6-b9f1-44f0-ad70-14e517dfa45a
Giuliano Simeone Baldini,2002-12-18,DISJOINT,MID,ATT,forward,Q111672750,57faf514-d8db-4808-89a1-fbdb156aa0d0
Gnantin Yann Gboho,2001-01-14,DISJOINT,ATT,MID,midfielder,Q66107406,fafc6eba-4b6d-4c09-a5e0-6ef4490d24a1
Grady George Diangana,1998-04-19,DISJOINT,ATT,MID,midfielder,Q56761319,f290dd25-5620-434a-bb18-7faf190670bd
Hennes Behrens,2005-01-19,DISJOINT,MID,DEF,defender,Q131987115,e178eab3-a6a4-4dee-b30a-f3187e2afbf8
Hugo Ekitike,2002-06-20,DISJOINT,MID,ATT,forward,Q100602910,32c886d7-ef34-4de2-8084-e64050942fa5
Ibrahim Maza,2005-11-24,DISJOINT,MID,ATT,forward,Q118118504,1acb8fd3-6ef2-47b1-98d5-51d381f704aa
Ibrahim Mbaye,2008-01-24,DISJOINT,MID,ATT,forward,Q129088593,87852c12-7ff4-4b7d-ae5d-1007a78ae3e2
Igor Paixão,2000-06-28,DISJOINT,MID,ATT,forward,Q65548497,ecb664ff-0453-4646-b0ca-9485b36449a3
Ilyas Azizi,2008-04-13,DISJOINT,MID,ATT,forward,Q134570389,29cbf37b-f5df-459e-abb1-582cd704aea3
Imad Rondić,1999-02-16,DISJOINT,ATT,MID,midfielder,Q100287932,95be5530-8730-4791-a64b-51a5ea79ac5b
Iñigo Vicente,1998-01-06,DISJOINT,MID,ATT,forward,Q54656757,1a20f8b5-5ed1-4095-a78f-aa7ac5e8a71e
Isac Alexi Sivert Lidberg,1998-09-08,DISJOINT,ATT,MID,midfielder,Q21860037,dae0b3c5-22ca-48f2-826a-3397af87b2de
Isak Steiner Jensen,2003-12-23,DISJOINT,ATT,MID,midfielder,Q108855242,6f577f63-9c80-4c7d-b413-94762860cdcf
Iván Azón,2002-12-24,DISJOINT,MID,ATT,forward,Q101420267,fc875d2c-cdf2-42db-b2c9-b18eaeebabde
Jack Edward Rudoni,2001-06-14,DISJOINT,ATT,MID,midfielder,Q78488478,c72097e9-e3e5-4a1d-ae70-40dbc4f57dd7
Jack Raymond Clarke,2000-11-23,DISJOINT,MID,ATT,forward,Q57078908,e12b3fff-5b07-4a1f-9af2-c7053948acb3
Jaka Bijol,1999-02-05,DISJOINT,DEF,MID,midfielder,Q47088780,8fcc35fc-2ddb-4123-acda-f59b0cfb57d6
James Clayton Hill,2002-01-10,DISJOINT,DEF,ATT,forward,Q60734582,f2c2e3d0-7fed-4618-a30d-c7345116d10f
Jamie Leweling,2001-02-26,DISJOINT,ATT,MID,midfielder,Q65964628,fbb736b2-0708-43d4-b68e-0146cd470431
Jan Uwe Thielmann,2002-05-26,DISJOINT,MID,ATT,forward,Q78494289,1954034a-0186-4cbc-a239-4a665f8fea03
Jan-Niklas Beste,1999-01-04,DISJOINT,MID,DEF,full-back,Q36391177,54fdf74a-5d7e-4874-9cc2-1aace9315b0b
Janik Haberer,1994-04-02,DISJOINT,MID,ATT,forward,Q1682741,9c4b8c53-d94d-46e4-b9e3-b1cf26e12795
Jay Idzes,2000-06-02,DISJOINT,DEF,MID,midfielder,Q52348645,8e6ddd9a-55e3-4c0a-8d64-a4a9f39326fb
Jay Rhys Dasilva,1998-04-22,DISJOINT,MID,DEF,defender,Q21572868,2ee7e033-1b0a-4ba0-afcd-7ca1911f781d
Jayden Ian Bogle,2000-07-27,DISJOINT,MID,DEF,full-back,Q56223640,b5a8efdf-8a99-4315-b1e4-077c56f6cb3a
Jean-Victor Makengo,1998-06-12,DISJOINT,ATT,MID,midfielder,Q20851378,0521c3e0-1807-40ca-9883-29cb5cb1106e
Jérémie Boga,1997-01-03,DISJOINT,ATT,MID,midfielder,Q20925240,d8471056-1387-41cc-a6da-a5b0844e8efc
Jim Émilien Ngowet Allevinah,1995-02-27,DISJOINT,MID,ATT,forward,Q62467948,17d3b06f-0157-479d-b582-b7be511f4a9e
João Lucas de Souza Cardoso,2001-09-20,DISJOINT,MID,ATT,forward,Q72219351,97be12f5-0f2e-4354-9e86-37d6323f4117
João Mário,2000-01-03,DISJOINT,DEF,ATT,forward,Q60676442,28767a24-7e66-473a-a9a9-61686910cee2
Joelinton,1996-08-14,DISJOINT,MID,ATT,forward,Q20047360,95e244ac-7676-44fe-ad0e-2ab4336a816f
Johan Manzambi,2005-10-14,DISJOINT,MID,ATT,forward,Q125376751,86e57209-6f2c-41fc-bf1d-11d4173e38a6
Jonathan Clauss,1992-09-25,DISJOINT,MID,DEF,defender,Q41932444,e0f313a9-2966-41c2-b7a7-56f6e4dc309a
Joseph Michael Scally,2002-12-31,DISJOINT,MID,DEF,defender,Q54861644,f31ba5a1-829b-4037-b7ae-ef6c67ab69c7
Josha Mamadou Karaboue Vagnoman,2000-12-11,DISJOINT,MID,DEF,defender,Q50384596,f50dceb1-7bae-49ea-86e6-8be03a55a5ac
Josip Juranović,1995-08-16,DISJOINT,DEF,MID,midfielder,Q19968645,e0f0212f-a87f-4037-8095-cdc66cfae77f
Juan Carlos Arana,2000-02-08,DISJOINT,ATT,MID,midfielder,Q111756912,f8f9c281-d427-4573-909d-d2f04fdff6cd
Juan Iglesias,1998-07-03,DISJOINT,DEF,MID,midfielder,Q104602884,aafc1a29-919f-4ff6-b91b-cfae98a55e51
Juan Miranda,2000-01-19,DISJOINT,MID,DEF,defender,Q38198371,36d78781-a879-4b1c-999b-0640c50f25ff
Julian Ryerson,1997-11-17,DISJOINT,MID,DEF,defender,Q28717698,0008d908-62cc-423d-a68c-0742a7662861
Junior Morau Kadile,2002-12-16,DISJOINT,MID,ATT,forward,Q110385369,c1eeae1d-167f-477a-8b4f-0d291329cae7
Junior Mwanga,2003-05-11,DISJOINT,MID,DEF,defender,Q113580461,9140eae2-1b71-42b7-a361-18983f097c2b
Jurgen Ekkelenkamp,2000-04-05,DISJOINT,ATT,MID,midfielder,Q51796228,a320e4e8-b467-4a47-8bf8-d77e33f009a4
Kaine Kesler-Hayden,2002-10-23,DISJOINT,DEF,MID,midfielder,Q104733764,c839c2fe-d1bd-4d35-96d2-d39b380c22a2
Keane William Lewis-Potter,2001-02-22,DISJOINT,DEF,ATT,forward,Q62269289,61b952d7-81af-4420-906a-4549b7d6a3b5
Kenan Karaman,1994-03-05,DISJOINT,MID,ATT,forward,Q15901932,a14898f9-87be-44bd-a93f-330d3cc459ed
Kévin Danois,2004-06-28,DISJOINT,MID,ATT,forward,Q117485466,b7690752-8772-4e4c-acd8-7bb28921dbe3
Kevin Schade,2001-11-27,DISJOINT,MID,ATT,forward,Q103845834,b881cb4c-ac21-4790-b3d5-25d8ed0a9b36
Khalis Merah,2007-02-24,DISJOINT,MID,DEF,defender,Q135514874,3f3465ed-0397-4661-a0c2-f5ba17640915
Kieran O'Neill Dowell,1997-10-10,DISJOINT,MID,ATT,forward,Q18627270,7cd3c8d5-cb3a-4286-961d-ef34752cd45f
Kingsley Osezele Ehizibue,1995-05-25,DISJOINT,MID,DEF,full-back,Q18426157,3a38b6f1-7df7-4992-a4db-71884cb71e51
Kouassi Ryan Sessegnon,2000-05-18,DISJOINT,MID,DEF,full-back,Q26250297,4425c951-3d8a-452e-b073-57f0ae3625f4
Kristoffer Vassbakk Ajer,1998-04-17,DISJOINT,DEF,MID,midfielder,Q18157457,5dfbe999-8650-4ef9-8226-3062e5d75ba4
Lassana Coulibaly,1996-04-10,DISJOINT,ATT,MID,midfielder,Q20949218,7cf47e22-140a-4cf5-b57a-2c9d37f1527d
Lennard Maloney,1999-10-08,DISJOINT,MID,DEF,defender,Q51217743,7e0bdf26-c689-4511-ba56-5c134aace035
Lewis Miley,2006-05-01,DISJOINT,DEF,MID,midfielder,Q118780753,03cf3838-f95b-4f00-a70f-dcea2a6f0c3c
Lion Lauberbach,1998-02-15,DISJOINT,ATT,MID,midfielder,Q37305729,d6d2a6da-9c60-4a64-af8b-48e0c6fa42cb
Livan Burcu,2004-09-28,DISJOINT,ATT,MID,midfielder,Q121243464,693a69cf-ed54-487f-acef-6e706491c6d3
Luca Pascal Schnellbacher,1994-05-06,DISJOINT,MID,ATT,forward,Q14776663,e8f35fc4-9f70-44bc-97fc-01dc87d075d2
Lucas Buadés,1997-12-28,DISJOINT,DEF,MID,midfielder,Q41787061,8dbb72d5-e925-480c-a1f9-7f27387eb6c1
Lucas Calodat,2002-02-06,DISJOINT,DEF,MID + ATT,left midfielder,Q109795827,494ae923-06d2-4b2f-bffc-f37fc60d9c54
Lucas Vázquez,1991-07-01,DISJOINT,DEF,MID + ATT,wing half,Q5981954,5abeb4b3-2de7-41d6-83c7-a27f82b106c4
Ludovic Régis Arsène Blas,1997-12-31,DISJOINT,ATT,MID,midfielder,Q22003400,5ee51936-4e28-4244-80e3-8a2000ef1ffa
Luka Sučić,2002-09-08,DISJOINT,ATT,MID,midfielder,Q67999144,f4c1b29c-1e19-41e5-b41f-d0094489ba91
M&apos;Bala Nzola,1996-08-18,DISJOINT,ATT,MID,midfielder,Q30474499,ffeceaff-0419-49f3-9ad3-9e5db5806ec9
Malik Leon Tillman,2002-05-28,DISJOINT,MID,ATT,forward,Q96391665,1cfc23ce-0a8f-43e6-9246-99b537bd06f8
Malo Gusto,2003-05-19,DISJOINT,DEF,MID,midfielder,Q78752401,56088f3c-d9ba-4375-9435-ae96d65fd16f
Marcel Sabitzer,1994-03-17,DISJOINT,MID,ATT,forward,Q472300,3809f763-c873-402f-b46b-248ac7614b08
Marco Grüll,1998-07-06,DISJOINT,MID,ATT,forward,Q61869848,ddcd853f-47c9-43c2-8e7e-b8da44750ee2
Marcus Rashford,1997-10-31,DISJOINT,MID,ATT,forward,Q22951255,9dd1587a-9f25-4fa7-8d7e-152cf1753306
Martín Adrián Satriano Costa,2001-02-20,DISJOINT,MID,ATT,forward,Q108198513,024ca1a9-4103-4b33-ad3d-0e8bf4cebce3
Mathis Rayan Cherki,2003-08-17,DISJOINT,MID,ATT,forward,Q64736321,fca74456-bedf-4b8b-baf6-e357d8226678
Mathys Henri Tel,2005-04-27,DISJOINT,MID,ATT,forward,Q108106700,4109afa6-cb4e-40e6-a0a4-27497862f34e
Matias Fernandez-Pardo,2005-02-03,DISJOINT,MID,ATT,forward,Q117041294,ea287f13-ed08-4f3c-b724-9a3e914a2eed
Matt Davidson Rider Crooks,1994-01-20,DISJOINT,MID,DEF,defender,Q17496496,2e05198b-39c7-455b-9e1f-0830064cbb5d
Matteo Politano,1993-08-03,DISJOINT,MID,ATT,forward,Q6789694,0fa45b0c-6832-4f5e-963d-1e8c723fe89c
Mattia Zaccagni,1995-06-16,DISJOINT,ATT,MID,midfielder,Q28968068,ea02b70f-fa8d-4318-b3fc-0cb24b9ea291
Maxim De Cuyper,2000-12-22,DISJOINT,MID,DEF,defender,Q85928265,8cada43c-025c-43a0-8dbe-4b1cd0c0530f
Mehmet Zeki Çelik,1997-02-17,DISJOINT,MID,DEF,full-back,Q50628268,b5dc5611-d63c-46f4-94b6-0275a8164f06
Mërgim Vojvoda,1995-02-01,DISJOINT,MID,DEF,full-back,Q18589243,45abb208-e5f8-408f-85e7-8637d445b97a
Michał Krzysztof Skóraś,2000-02-15,DISJOINT,ATT,MID,midfielder,Q64167368,306a79a5-f197-429a-a1dd-f46d89c9440b
Michel Ndary Adopo,2000-07-19,DISJOINT,DEF,MID,midfielder,Q59914804,3936445d-e455-48b1-8ee0-7c9acc7875fe
Miro Max Maria Muheim,1998-03-24,DISJOINT,DEF,MID,midfielder,Q49167084,77653b61-ae66-4718-ad83-47248d9764ad
Mohammed Kudus,2000-08-02,DISJOINT,MID,ATT,forward,Q56877051,88de67b2-e958-4d5a-aeb2-00827bc7c730
Moi Gómez,1994-06-23,DISJOINT,ATT,MID,midfielder,Q3884280,ee27a4ea-7d93-4ef2-8973-f6cac63f3b6b
Morgan Anthony Gibbs-White,2000-01-27,DISJOINT,ATT,MID,attacking midfielder,Q28147578,5010192c-33f9-4e17-aca2-d59465fb1c44
Nadir Zortea,1999-06-19,DISJOINT,MID,DEF,defender,Q69408385,0063e70e-64fb-4393-9d1c-ccfbd9a9b6e5
Nahuel Molina Lucero,1998-04-06,DISJOINT,MID,DEF,defender,Q22082590,31a8c710-f34d-4a46-bc94-4d5b9102e370
Nathan Ngoumou Minpole,2000-03-14,DISJOINT,ATT,MID,midfielder,Q64746308,3aa00a20-d1c0-4ca9-b10f-4b2b73216eae
Neco Shay Williams,2001-04-13,DISJOINT,MID,DEF,defender,Q72921909,3dc32ffc-96d7-49e4-a5eb-c1ad3a3cc3ec
Nicolás Iván González,1998-04-06,DISJOINT,MID,ATT,forward,Q43381082,a0a69fdd-8f9f-4de1-a33a-812631ffe80a
Niels Patrick Nkounkou,2000-11-01,DISJOINT,MID,DEF,full-back,Q98937031,3144e6d2-3bc2-4170-9af8-592aa10afc89
Nikita Solodchenko,1997-10-01,DISJOINT,ATT,MID,midfielder,Q90312314,0bc7bb89-18c6-42e2-b618-d68750951868
Nikola Vlašić,1997-10-04,DISJOINT,ATT,MID,midfielder,Q17501875,aee7e5d6-3302-4029-948a-d2b63e641550
Noah Mbamba-Muanda,2005-01-05,DISJOINT,MID,DEF,defender,Q105047331,d4a00807-6f14-4845-8928-5531ceaabc3d
Olivier Deman,2000-04-06,DISJOINT,DEF,MID,midfielder,Q69496466,8a9d0513-0fe9-4a15-9709-eb16d08bb870
Omar Marmoush,1999-02-07,DISJOINT,MID,ATT,forward,Q28065104,1d23dea5-d732-4144-9359-2b737f46f214
Osame Sahraoui,2001-06-11,DISJOINT,ATT,MID,midfielder,Q96679651,1d753c89-f6c4-48c3-b5c9-b73069dd0875
Oscar Bobb,2003-07-12,DISJOINT,MID,ATT,forward,Q110466658,50d52d09-a975-4f09-ae5d-5408ea28d1ac
Pablo Pagis,2002-12-29,DISJOINT,MID,ATT,forward,Q115466263,ac5478f4-9891-41e0-8c42-9edfb48edee5
Patrick Wimmer,2001-05-30,DISJOINT,MID,ATT,forward,Q65948837,7bbce30a-8b82-4f77-a297-78621ba23860
Pedraza,1996-04-09,DISJOINT,DEF,MID + ATT,wing half | forward,Q19871936,f15c907f-b7a2-404b-b41b-19442e56d34b
Pedri,2002-11-25,DISJOINT,MID,DEF,centerhalf,Q66606355,7edd240a-f52b-4c34-95c6-ceb44b271449
Pepelu,1998-08-11,DISJOINT,DEF,MID,midfielder,Q22007369,971ca2e7-b858-4573-9aef-e398ad06edc5
Pervis Josué Estupiñán Tenorio,1998-01-21,DISJOINT,MID,DEF,defender,Q20994068,4a90acff-9cff-4636-9216-9daa41c98503
Phillipp Mwene,1994-01-29,DISJOINT,MID,DEF,defender,Q11634138,4a130e48-17cf-4325-83e7-b0dba5b1133f
Pol Lozano,1999-10-06,DISJOINT,MID,ATT,forward,Q52192222,e18f4186-781b-4eb2-b319-11ecfd281f75
Pontus Skule Erik Almqvist,1999-07-10,DISJOINT,ATT,MID,midfielder,Q42393756,6d7c8164-5e9c-4f4f-a49a-cf4375941703
Ricardo Mangas,1998-03-19,DISJOINT,MID,DEF,defender,Q81003636,13264a82-1526-41a8-8d01-44680100a296
Robert Faxe Skov,1996-05-20,DISJOINT,MID,ATT,forward,Q19973701,f73f3fdc-a166-42d8-935a-d62e76392489
Robin Everardus Gosens,1994-07-05,DISJOINT,MID,DEF,full-back,Q15644548,83ed7bfd-1e26-4b0d-87db-bdec45e55be6
Robin Hack,1998-08-27,DISJOINT,MID,ATT,forward,Q41487752,06631ebe-eae8-40b9-b0b1-8b7c40189c28
Rodrigo Bentancur Colmán,1997-06-25,DISJOINT,MID,DEF,stopper,Q18817134,3dde807d-e6ad-4ffe-8ad7-f1722289bf59
Romain Paul Jean-Michel Perraud,1997-09-22,DISJOINT,DEF,MID,midfielder,Q28962661,5f7afcf9-7978-448c-a1f9-6db51e5573c9
Romaine Lee Mundle,2003-04-24,DISJOINT,ATT,MID,midfielder,Q121032499,bbc5e959-c342-46c5-ace3-3e05a32d92d7
Ruben Aguilar,1993-04-26,DISJOINT,MID,DEF,defender,Q20090069,9a003256-0368-41fd-94e4-69eba1233e5b
Ryan Giles,2000-01-26,DISJOINT,DEF,MID,midfielder,Q59914064,fb42c579-1d7f-4975-b8a7-dcab28c9e98e
Samuele Birindelli,1999-07-19,DISJOINT,MID,DEF,defender,Q28976858,c58c0339-4031-4949-ba4c-bb81d5144d4c
Satoshi Tanaka,2002-08-13,DISJOINT,MID,DEF,defender,Q77670479,e6e0dbd9-9f9a-45a1-a94c-f377a3a3c343
Sávio,2004-04-10,DISJOINT,MID,ATT,forward,Q99485542,8a9b72a9-8bf3-434e-9032-00475cf586f1
Sebastian Reinhard Klaas,1998-06-30,DISJOINT,ATT,MID,midfielder,Q29917040,3865841d-13cf-4110-b587-0ada5444d53d
Tajon Trevor Buchanan,1999-02-08,DISJOINT,MID,ATT,forward,Q62016194,acffe059-6c62-4743-8539-66fc160b2104
Takefusa Kubo,2001-06-04,DISJOINT,ATT,MID,midfielder,Q27067753,1b63fbfa-89bf-420e-84e5-b464bbe3d03a
Théo Le Bris,2002-10-01,DISJOINT,MID,DEF,defender,Q108497893,7325b59e-c1dc-4630-8dd2-9f946f729092
Thierry Correia,1999-03-09,DISJOINT,MID,DEF,defender,Q59306442,22143289-a96b-402d-b047-3680daa4c742
Thomas André A. Meunier,1991-09-12,DISJOINT,MID,DEF,full-back,Q2036160,20f85fb5-c1b2-4105-b483-886a3cc8bc49
Timothé Nkada,1999-07-20,DISJOINT,MID,ATT,forward,Q66432295,72898401-319e-45ce-acf0-39e604c493c3
Timothy Tarpeh Weah,2000-02-22,DISJOINT,DEF,ATT,forward,Q31871265,4f3ad9b8-6b62-43ec-8073-68a9c9b115ed
Tom Baack,1999-03-13,DISJOINT,MID,DEF,centre-back,Q57017552,47afc29d-ca80-4327-a9da-1ba099bc8677
Tommaso Baldanzi,2003-03-23,DISJOINT,ATT,MID,attacking midfielder,Q108188237,2ec6d1ce-9c2c-4dad-939b-c939f2d64315
Tyrick Kwon Mitchell,1999-09-01,DISJOINT,MID,DEF,defender,Q96943831,14a0ce19-7f11-44fb-bfe3-267409d7e9f4
Víctor García,1997-09-16,DISJOINT,DEF,MID + ATT,wing half,Q56604038,2bdc4e75-ad4d-4858-a246-6c04e3e29a83
Vincent Marchetti,1997-07-04,DISJOINT,MID,DEF,defender,Q21621940,9dab208a-6ae9-4fa9-9843-dc2bb8a47190
Warren Zaïre-Emery,2006-03-08,DISJOINT,DEF,MID,defensive midfielder,Q111280241,4e178847-840d-47b7-b095-74b61f75a8f3
Yasser Larouci,2001-01-01,DISJOINT,MID,DEF,full-back,Q65921425,923e41be-944c-453d-8bc4-cc0df6c1de40
Youssouf Nyange Ndayishimiye,1998-10-27,DISJOINT,DEF,MID,midfielder,Q39301940,97299448-bfce-45af-941e-835dc67c1df0
Yunus Dimoara Musah,2002-11-29,DISJOINT,MID,ATT,forward,Q99304192,be059631-ddb7-4d94-9ce7-01cbbb6e3ca0
Zakaria El Ouahdi,2001-12-31,DISJOINT,MID,ATT,forward,Q108156269,583d73f7-2228-4060-aa1e-6498b7e48840
Zavier Gozo,2007-03-22,DISJOINT,ATT,MID,midfielder,Q123090257,5a6811c7-0230-49ae-90a6-db6f9641065e
Zian Flemming,1998-08-01,DISJOINT,ATT,MID,midfielder,Q40451970,2d045c01-15db-41b9-9b47-dff3d68daa56
Abdessamad Ezzalzouli,2001-12-17,WIKIDATA_SUPERSET,ATT,MID + ATT,wing half,Q109327842,648bd082-82ed-4969-9680-7f8bfd49cea9
Adama Traoré,1996-01-25,WIKIDATA_SUPERSET,ATT,MID + ATT,wide midfielder,Q15221199,edc906c6-aff8-4e6d-a55c-99207933684c
